City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
86,Barrow,US,2021-07-24 22:26:22,71.2906,-156.7887,41.02,87,90,5.75,moderate rain
87,Verrettes,HT,2021-07-24 22:26:22,19.05,-72.4667,71.19,71,51,8.63,broken clouds
88,Mount Gambier,AU,2021-07-24 22:26:22,-37.8333,140.7667,42.71,81,40,9.22,moderate rain
89,Emmett,US,2021-07-24 22:26:22,43.8735,-116.4993,99.48,16,0,1.01,clear sky
90,Portel,BR,2021-07-24 22:26:22,-1.9356,-50.8211,79.68,64,100,3.4,overcast clouds
91,Siguiri,GN,2021-07-24 22:26:24,11.6667,-9.5,73.4,93,96,4.83,overcast clouds
92,Cherskiy,RU,2021-07-24 22:26:24,68.75,161.3,50.74,65,85,3.53,overcast clouds
93,San Cristobal,VE,2021-07-24 22:26:24,7.7669,-72.225,80.78,75,100,4.63,overcast clouds
94,Terrace Bay,CA,2021-07-24 22:26:25,48.7834,-87.1,64.02,62,55,6.98,broken clouds
95,Ahuimanu,US,2021-07-24 22:26:25,21.4447,-157.8378,89.31,70,75,16.11,light rain
96,Sovetskiy,RU,2021-07-24 22:26:25,61.3614,63.5842,50.83,80,98,7.7,overcast clouds
97,Bethel,US,2021-07-24 22:26:25,41.3712,-73.414,79.81,61,20,8.05,few clouds
98,Mokobeng,BW,2021-07-24 22:26:26,-22.9965,27.6678,46.33,55,0,6.11,clear sky
99,Sopot,PL,2021-07-24 22:25:31,54.4418,18.56,63.9,90,0,3.44,clear sky
100,Hirado,JP,2021-07-24 22:26:26,33.3597,129.5531,82.38,73,100,6.2,overcast clouds
101,Comodoro Rivadavia,AR,2021-07-24 22:25:55,-45.8667,-67.5,44.46,76,0,3.44,clear sky
102,Fortuna,US,2021-07-24 22:26:26,40.5982,-124.1573,73.85,72,1,14.97,clear sky
103,Tommot,RU,2021-07-24 22:26:27,58.9564,126.2925,60.58,97,100,1.99,overcast clouds
104,Labuan,MY,2021-07-24 22:26:27,5.2767,115.2417,80.96,94,20,0.0,few clouds
105,Qaanaaq,GL,2021-07-24 22:26:27,77.484,-69.3632,41.4,67,100,2.24,overcast clouds
106,Hilo,US,2021-07-24 22:26:27,19.7297,-155.09,80.62,88,90,6.91,moderate rain
107,Pokhara,NP,2021-07-24 22:22:41,28.2333,83.9833,73.9,97,100,0.58,overcast clouds
108,Bengkulu,ID,2021-07-24 22:22:15,-3.8004,102.2655,74.98,86,29,5.19,scattered clouds
109,Tateyama,JP,2021-07-24 22:26:28,34.9833,139.8667,84.02,80,1,8.32,clear sky
110,Gogrial,SS,2021-07-24 22:26:28,8.5332,28.1004,72.81,84,97,6.87,overcast clouds
111,Upernavik,GL,2021-07-24 22:26:29,72.7868,-56.1549,40.1,83,94,5.41,overcast clouds
112,Canandaigua,US,2021-07-24 22:26:29,42.8742,-77.288,78.89,73,100,1.99,overcast clouds
113,Jacareacanga,BR,2021-07-24 22:26:29,-6.2222,-57.7528,84.27,40,99,1.83,overcast clouds
114,Bluff,NZ,2021-07-24 22:26:29,-46.6,168.3333,45.81,69,100,10.07,overcast clouds
115,Faanui,PF,2021-07-24 22:26:29,-16.4833,-151.75,77.74,72,53,10.67,light rain
116,Akyab,MM,2021-07-24 22:26:29,20.15,92.9,81.09,86,71,8.48,light rain
117,Yellowknife,CA,2021-07-24 22:26:30,62.456,-114.3525,58.32,52,75,1.01,broken clouds
118,Sioux Lookout,CA,2021-07-24 22:26:30,50.1001,-91.917,79.18,41,40,14.97,smoke
119,Erzin,TR,2021-07-24 22:26:30,36.9559,36.2,80.01,87,5,0.49,clear sky
120,Dingle,PH,2021-07-24 22:26:30,10.9995,122.6711,78.21,86,85,13.58,overcast clouds
121,New Norfolk,AU,2021-07-24 22:26:30,-42.7826,147.0587,43.92,78,82,4.0,broken clouds
122,Tuatapere,NZ,2021-07-24 22:26:31,-46.1333,167.6833,45.82,79,100,6.42,light rain
123,Kupang,ID,2021-07-24 22:26:31,-10.1667,123.5833,70.2,70,7,4.16,clear sky
124,Bilma,NE,2021-07-24 22:26:31,18.6853,12.9164,90.05,41,99,15.43,overcast clouds
125,Sola,VU,2021-07-24 22:26:31,-13.8833,167.55,80.28,78,27,10.58,scattered clouds
126,Thompson,CA,2021-07-24 22:26:31,55.7435,-97.8558,73.56,53,40,10.36,scattered clouds
127,Broome,US,2021-07-24 22:26:32,42.2506,-75.833,80.2,62,1,1.01,clear sky
128,Inhambane,MZ,2021-07-24 22:26:32,-23.865,35.3833,64.54,62,89,11.36,light rain
129,Slave Lake,CA,2021-07-24 22:26:32,55.2834,-114.769,69.78,56,40,14.97,scattered clouds
130,Huizhou,CN,2021-07-24 22:26:32,23.0833,114.4,80.28,84,76,2.15,broken clouds
