City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Brasilia,BR,2021-07-22 14:28:23,-15.7797,-47.9297,77.63,49,20,11.5
213,Hauterive,FR,2021-07-22 14:32:15,46.0901,3.4459,84.96,38,0,5.88
214,Pangoa,PE,2021-07-22 14:32:15,-12.1167,-73.0,78.6,53,0,2.35
215,Hobyo,SO,2021-07-22 14:32:16,5.3505,48.5268,79.48,77,66,32.7
216,Syracuse,IT,2021-07-22 14:31:10,37.0881,15.2792,92.43,57,0,8.59
217,Saint-Paul,RE,2021-07-22 14:31:51,-21.0096,55.2707,71.71,73,92,3.91
218,Gushikawa,JP,2021-07-22 14:32:16,26.3544,127.8686,81.63,94,75,27.63
219,Alyangula,AU,2021-07-22 14:32:17,-13.8483,136.4192,64.27,88,52,0.0
220,Madisonville,US,2021-07-22 14:32:17,37.3281,-87.4989,80.22,71,1,4.16
221,Nago,JP,2021-07-22 14:32:17,26.5881,127.9761,82.47,89,100,28.77
222,Kulhudhuffushi,MV,2021-07-22 14:32:17,6.6221,73.07,82.9,78,100,16.53
223,Zemio,CF,2021-07-22 14:32:17,5.0314,25.1361,76.87,83,98,3.76
224,Gravdal,NO,2021-07-22 14:31:16,68.1214,13.5031,51.48,87,75,11.5
225,Damghan,IR,2021-07-22 14:32:08,36.1683,54.348,94.26,16,65,6.8
226,Brewster,US,2021-07-22 14:32:18,41.3973,-73.6171,77.72,69,1,1.01
227,Jumla,NP,2021-07-22 14:32:18,29.2747,82.1838,65.05,95,98,0.63
228,Vao,NC,2021-07-22 14:32:18,-22.6667,167.4833,69.42,74,0,8.14
229,Villazon,BO,2021-07-22 14:32:19,-22.0866,-65.5942,53.64,17,0,4.18
230,Blagoyevo,RU,2021-07-22 14:32:19,63.3667,47.9167,64.49,35,93,6.93
231,Anaconda,US,2021-07-22 14:32:19,46.1285,-112.9423,54.59,39,0,2.44
232,Rawson,AR,2021-07-22 14:32:19,-43.3002,-65.1023,56.1,41,100,8.14
233,Guane,CU,2021-07-22 14:32:20,22.2025,-84.0875,89.83,54,0,5.64
234,Andenes,NO,2021-07-22 14:32:20,69.3143,16.1194,49.06,81,75,13.8
235,Warmbad,NA,2021-07-22 14:32:20,-28.45,18.7333,54.19,28,0,8.46
236,Tiarei,PF,2021-07-22 14:30:42,-17.5333,-149.3333,71.62,69,1,13.35
237,Divnoye,RU,2021-07-22 14:32:20,45.9089,43.3547,74.62,83,100,1.92
238,Hasaki,JP,2021-07-22 14:32:20,35.7333,140.8333,77.29,86,97,6.2
239,Sistranda,NO,2021-07-22 14:32:21,63.7256,8.834,54.9,82,75,20.24
240,Altayskoye,RU,2021-07-22 14:32:21,51.9533,85.3325,70.29,86,100,1.79
241,Awjilah,LY,2021-07-22 14:32:21,29.1081,21.2869,95.86,24,5,13.91
242,Jieznas,LT,2021-07-22 14:32:21,54.6,24.1667,76.59,52,6,7.58
243,Nome,US,2021-07-22 14:32:21,64.5011,-165.4064,37.47,87,75,3.44
244,Tavricheskoye,RU,2021-07-22 14:32:22,54.5851,73.6395,84.11,57,2,8.34
245,Castro,BR,2021-07-22 14:32:22,-24.7911,-50.0119,64.31,40,0,6.4
246,Ilulissat,GL,2021-07-22 14:32:22,69.2167,-51.1,53.62,40,75,9.22
247,Vila Velha,BR,2021-07-22 14:32:22,-20.3297,-40.2925,75.96,66,40,10.36
248,Karlskrona,SE,2021-07-22 14:32:22,56.1616,15.5866,75.65,62,11,13.13
249,Karasburg,NA,2021-07-22 14:32:23,-28.0167,18.75,52.23,32,0,10.13
250,Masalli,KR,2021-07-22 14:32:23,34.7959,126.6553,80.28,90,86,4.29
251,Tselinnoye,RU,2021-07-22 14:32:23,53.0833,85.6667,69.12,67,78,8.14
252,Namatanai,PG,2021-07-22 14:32:24,-3.6667,152.4333,78.42,82,79,7.61
253,Morondava,MG,2021-07-22 14:32:24,-20.2833,44.2833,75.52,78,4,10.63
254,Mange,SL,2021-07-22 14:32:25,8.9167,-12.85,79.77,87,86,6.93
255,La Orilla,MX,2021-07-22 14:32:25,17.9833,-102.2333,81.99,75,68,4.12
256,Fortuna,US,2021-07-22 14:32:25,40.5982,-124.1573,54.93,90,28,3.36
257,Buala,SB,2021-07-22 14:32:26,-8.145,159.5921,79.99,85,58,7.92
258,Menongue,AO,2021-07-22 14:32:26,-14.6585,17.691,79.66,9,40,10.04
