City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
376,Kushiro,JP,65.43,42.975,144.3747,overcast clouds,Toyoko Inn Kushiro Jujigai
377,Moengo,SR,75.51,5.6167,-54.4,light rain,Masanga
378,Apollonia,GR,77.13,36.9716,24.7231,clear sky,Hotel Anthousa
380,Luganville,VU,81.77,-15.5333,167.1667,scattered clouds,The Espiritu Hotel
381,Saint-Pierre,RE,67.68,-21.3393,55.4781,broken clouds,Lindsey Hôtel
383,Den Helder,NL,67.98,52.9599,4.7593,broken clouds,Hotel Den Helder
385,Baglung,NP,72.48,28.2719,83.5898,overcast clouds,"Hotel Peace Palace, Baglung, Nepal"
386,Pokhara,NP,73.9,28.2333,83.9833,overcast clouds,Butterfly Lodge
387,Deputatskiy,RU,48.87,69.3,139.9,broken clouds,Baza Otdykha
388,Tiksi,RU,41.81,71.6872,128.8694,scattered clouds,Arktika
389,Bogorodskoye,RU,52.92,56.55,37.8833,scattered clouds,Sosnoviy Bor
390,Baruun-Urt,MN,60.39,46.6806,113.2792,clear sky,Ахмадын амралт сувилал
391,Peleduy,RU,65.71,59.6289,112.7406,scattered clouds,Гостиница «Уют»
392,Santa Quiteria,BR,80.74,-4.3319,-40.1567,clear sky,Tahen Hotel
393,Swellendam,ZA,43.18,-34.0226,20.4417,scattered clouds,De Kloof Luxury Estate boutique Hotel & SPA
394,Rabo De Peixe,PT,71.11,37.8,-25.5833,few clouds,Quinta das Giestas
395,Sisimiut,GL,40.64,66.9395,-53.6735,overcast clouds,Hotel Sisimiut
396,Teguise,ES,68.22,29.0605,-13.564,few clouds,B&B La Casona de Nazaret
397,Moron,AR,60.03,-34.6534,-58.6198,moderate rain,Hotel Morón
398,Suoyarvi,RU,55.54,62.0833,32.35,overcast clouds,Mini-Hotel Comfort
399,Asau,RO,65.75,46.4333,26.4,clear sky,Casa Mika Ciobanus
402,Pietarsaari,FI,62.89,63.65,22.6833,scattered clouds,Jakobstad City Hotel Pietarsaari
403,Khandyga,RU,58.91,62.6667,135.6,overcast clouds,Apel'sin
404,Freeport,US,83.37,40.6576,-73.5832,clear sky,The Freeport Inn and Marina
405,Yulara,AU,35.44,-25.2406,130.9889,scattered clouds,Desert Gardens Hotel - Ayers Rock Resort
406,Dayong,CN,83.88,25.0209,118.2898,broken clouds,Haiyue Express Hotel
407,Nantucket,US,78.62,41.2835,-70.0995,clear sky,Jared Coffin House
408,Zbarazh,UA,61.65,49.6636,25.7762,few clouds,Edelʹveys
409,Sulangan,PH,83.28,11.1373,123.7228,broken clouds,Maia's Beach Resort
410,Puerto Leguizamo,CO,72.32,-0.1934,-74.7819,overcast clouds,la casona de juancho
411,Ugoofaaru,MV,81.36,5.6667,73.0,overcast clouds,Ungoofaaru Inn
412,Murchison,NZ,46.9,-41.8,172.3333,broken clouds,OFF THE BEATEN TRACK ACCOMMODATION & BIKE HIRE.
413,Kizukuri,JP,78.12,40.8061,140.3861,scattered clouds,Hotel memory
414,Susehri,TR,57.83,40.1644,38.0867,scattered clouds,Su Vadi Hotel
415,Margate,GB,66.31,51.3813,1.3862,overcast clouds,Premier Inn Margate hotel
417,Bosaso,SO,88.66,11.2842,49.1816,overcast clouds,Red Sea Hotel
