City_ID,City,Country,Max Temp,Lat,Lng,Current Weather,Hotel Name
641,Puerto Baquerizo Moreno,EC,72.27,-0.9,-89.6,overcast clouds,Hotel los Algarrobos
642,Gunupur,IN,80.22,19.0833,83.8167,overcast clouds,Sree Satya Residency
643,Uberlandia,BR,83.55,-18.9186,-48.2772,clear sky,Hotel Apollo
645,Tiarei,PF,71.62,-17.5333,-149.3333,clear sky,Le Rocher de Tahiti
646,Beian,NO,58.55,63.6559,9.5683,light intensity drizzle,"Fjord-Fishing AS, Property & Housing Co."
647,Belyye Berega,RU,66.38,53.2085,34.6641,few clouds,Meridian
648,Homer,US,56.08,59.6425,-151.5483,moderate rain,Beluga Lake Lodge
649,Lalpur,IN,82.58,22.2,69.9667,overcast clouds,Radhe Duplex Lalpur
650,Dovolnoye,RU,65.68,54.4958,79.6671,scattered clouds,Gostinitsa
651,Spokane,US,70.77,47.6166,-117.3677,smoke,Madison Inn by Riversage
653,Vestmanna,FO,52.72,62.1564,-7.1664,broken clouds,Budget Guesthouse Borgustova
654,Ampanihy,MG,70.93,-24.7,44.75,scattered clouds,Angora Hotel
655,Acarau,BR,88.59,-2.8856,-40.12,broken clouds,castelo pizzaria
656,Vanimo,PG,77.72,-2.6741,141.3028,broken clouds,Vahmoneh Lodge Vanimo
657,Santa Maria,BR,69.94,-29.6842,-53.8069,clear sky,Hotel Morotin
658,Nivala,FI,60.69,63.9167,24.9667,overcast clouds,Hotelli Huiskankorpi / Aseman majatalo
659,Cockburn Town,TC,87.76,21.4612,-71.1419,scattered clouds,Osprey Beach Hotel
660,Praya,CV,84.74,14.9215,-23.5087,broken clouds,LT Aparthotel
661,Rio Gallegos,AR,50.05,-51.6226,-69.2181,scattered clouds,Hotel Santa Cruz
662,Tongchuan,CN,71.15,35.0806,109.0897,overcast clouds,Tongchuan Hotel
663,Port Macquarie,AU,47.37,-31.4333,152.9167,overcast clouds,Rydges Port Macquarie
664,San Vicente,AR,78.15,-26.6167,-54.1333,clear sky,Complejo Turístico Farelluk
665,Akyab,MM,82.18,20.15,92.9,overcast clouds,Hotel Memory
666,Quepos,CR,89.58,9.4236,-84.1652,overcast clouds,Jungle Beach Hotel at Manuel Antonio
667,Cabedelo,BR,79.47,-6.9811,-34.8339,scattered clouds,Hotel Pigalle
668,Lososina,RU,65.93,48.9975,140.3106,broken clouds,"Хостел ""Пилигрим"""
669,Mollendo,PE,64.6,-17.0231,-72.0147,broken clouds,Hostal La Casa de Melgar
670,Mackay,AU,57.04,-21.15,149.2,clear sky,International Lodge Motel
671,Golkoy,TR,63.81,40.6875,37.6178,overcast clouds,Golkoy Ogretmenevi
672,Logatec,SI,79.52,45.9144,14.2258,overcast clouds,Villa Tollazzi
674,Cerro Largo,BR,80.15,-28.1486,-54.7381,clear sky,Hotel Missões
675,Ahuimanu,US,78.51,21.4447,-157.8378,scattered clouds,Paradise Bay Resort
676,Chatra,IN,78.78,24.2167,84.8667,scattered clouds,Shubhra Lodge
677,Vitim,RU,63.73,59.4511,112.5578,broken clouds,Gostinitsa V Apteke
679,Dawei,MM,78.96,14.0833,98.2,overcast clouds,Hotel Dawei
681,Saint-Joseph,RE,66.58,-21.3667,55.6167,broken clouds,"""Plantation Bed and Breakfast"
682,Samarai,PG,77.14,-10.6167,150.6667,overcast clouds,Nuli Sapi
683,Svetlyy,RU,68.05,54.675,20.1347,scattered clouds,"Gostinitsa-Kafe, Alena"
684,Manadhoo,MV,83.21,5.7667,73.3833,overcast clouds,Vevu Guesthouse
685,Paysandu,UY,68.43,-32.3214,-58.0756,broken clouds,Gran Hotel Paysandú
686,Yangjiang,CN,78.26,21.85,111.9667,scattered clouds,HUALUXE Yangjiang City Center
687,Vilcun,CL,45.34,-38.65,-72.2333,overcast clouds,"Rayen-Co, Rural Tourism"
688,Finnsnes,NO,50.61,69.2296,17.9811,light rain,Finnsnes Hotel - A SNR Hotel
689,Oistins,BB,86.09,13.0667,-59.5333,scattered clouds,Butterfly Beach Hotel
691,Matagami,CA,62.71,49.7502,-77.6328,overcast clouds,Hôtel Matagami
692,Dubbo,AU,44.73,-32.25,148.6167,overcast clouds,Comfort Inn Blue Lagoon
693,Ranot,TH,81.41,7.7777,100.3213,overcast clouds,Pakbanglake resort ปากบางเลค รีสอร์ท
696,Mayo,US,84.34,38.8876,-76.5119,clear sky,Resorts Resource Group International
697,Petropavlovsk-Kamchatskiy,RU,50.59,53.0452,158.6483,light intensity drizzle,The Hotel Petropavlovsky
701,Volno-Nadezhdinskoye,RU,72.88,43.3833,131.9917,mist,"Stoyanka Ooo ""Aml"""
702,Ghanaur,IN,83.73,30.3322,76.6072,broken clouds,Khan Tea Stall
703,Ypsonas,CY,82.49,34.6884,32.9574,few clouds,Club Aphrodite
704,Plouzane,FR,84.38,48.3833,-4.6167,clear sky,Carrefour Voyages Plouzané
705,Zvishavane,ZW,60.37,-20.3267,30.0665,clear sky,Hotel Boutique Runde
706,Gold Coast,AU,52.0,-28.0,153.4333,light rain,Mantra Towers of Chevron Surfers Paradise
707,Leh,IN,63.73,34.1667,77.5833,scattered clouds,Hotel Ladakh Greens
708,Nyurba,RU,60.48,63.2842,118.3319,overcast clouds,Gostinitsa Alrosa
710,Beringovskiy,RU,47.3,63.05,179.3167,scattered clouds,Beringgorski
711,Ogulin,HR,83.23,45.2661,15.2286,scattered clouds,Hotel Frankopan
712,Luang Prabang,LA,74.17,19.8856,102.1347,overcast clouds,Villa Oasis
713,Jieshou,CN,75.38,33.2634,115.3611,overcast clouds,Vatica Jieshou City New Passenger Transport Center Hotel
714,Ginda,IN,66.02,30.6945,78.4932,broken clouds,Bal uma sankar hotel and restaurant
715,Virtsu,EE,71.58,58.5716,23.5115,scattered clouds,Pivarootsi Holiday Village
716,Honningsvag,NO,44.13,70.9821,25.9704,broken clouds,Nordkapp Vandrerhjem
718,Saint-Junien,FR,87.85,45.8833,0.9,clear sky,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
722,Kita,ML,86.74,13.0349,-9.4895,overcast clouds,Hôtel Chat Rouge
